scientificName,scientificNameAuthorship,order,mimicryReference,mimicryNotes,forma,model,modelNotes
Alydid2 sp1,,Hemiptera,"McIver and Stonedahl, 1993",Pers. obs. Only the wingless juveniles are ant-like,,,
Alydid3 sp1,,Hemiptera,"McIver and Stonedahl, 1993",Pers. obs. Only the wingless juveniles are ant-like,,,
Amyciaea albomaculata,"(O.P.-Cambridge, 1874)",Araneae,"(Pekár, 2014)",,,Oecophylla smaragdina,
Apricia jovialis,"(L. Koch, 1879)",Araneae,Pers. obs.,"Possibly part of the golden mimicry complex (Pekár et al., 2017)",,,
Coleoptera2 sp1,,Coleoptera,Pers. obs.,,,,
Coleoptera3 sp1,,Coleoptera,Pers. obs.,,,,
Colobathristid1 sp1,,Hemiptera,Pers. obs.,Presumed good mimic of Oecophylla smaragdina,,Oecophylla smaragdina,
Corinnid1 sp1,,Araneae,"Raven, 2015",,,,
Cosmophasis bitaeniata,"(Keyserling, 1882)",Araneae,"Elgar and Allan, 2004","Considered a chemical mimic. Pers. obs. suggests a visual component, which is supported by morphometric analysis",,Oecophylla smaragdina,
Daerlac apicalis,"(Distant, 1904)",Hemiptera,"Cassis and Symonds, 2012",,,,
Daerlac nigricans,"(Distant, 1918)",Hemiptera,"Cassis and Symonds, 2012",,,,
Damoetas nitidus,"(L. Koch, 1880)",Araneae,"Davies and Zabka, 1989",,,,
Damoetas sp2,,Araneae,"Davies and Zabka, 1989",,,,
Eilica sp1,,Araneae,"Pekar et al., 2017a",,,,
Eurymela rubrolimbata,"(Kirkaldy, 1906)",Hemiptera,"Pekár et al., 2017a",Only juveniles are mimetic,,Dolichoderus clarki,Expert Matt Bulbert; juveniles actively associate with models
Hemiptera1 sp1,,Hemiptera,Pers. obs.,Possibly a juvenile Miridae,,,
Heteroptera2 sp1,,Hemiptera,Pers. obs.,,,,
Iridonyssus kohouti,"(Raven, 2015)",Araneae,"Raven, 2015",,,,
Judalana lutea,"(Rix, 1999)",Araneae,"Raven, 2015",,,Opisthopsis rufithorax,
Ligonipes sp1,"(Karsch, 1878)",Araneae,"Davies and Zabka, 1989",,,,
Ligonipes sp3,,Araneae,"Davies and Zabka, 1989",,,,
Mantid1 sp1,,Mantodea,"McIver and Stonedahl, 1993",Pers. obs. Only the wingless juveniles are ant-like,,,
Mantid2 sp1,,Mantodea,"McIver and Stonedahl, 1993",Pers. obs. Only the wingless juveniles are ant-like,,,
Myrmarachne bicolor,"(L. Koch, 1879)",Araneae,"Pekar et al., 2017b",,,Opisthopsis haddoni,
Myrmarachne erythrocephala,"(Koch, 1879)",Araneae,"Pekar et al., 2017b",,,Golden bums,
Myrmarachne helensmithae,"(Pekar, Petrakova, Corcobado & Whyte, 2017)",Araneae,"Pekar et al., 2017b",,,Opisthopsis haddoni,
Myrmarachne juvenile,,Araneae,"Pekar et al., 2017b",,,Golden bums,
Myrmarachne luctuosa,"(L. Koch, 1879)",Araneae,"Pekar et al., 2017b",,,Golden bums,
Myrmarachne macleayana,"(Bradley, 1876)",Araneae,"Pekar et al., 2017b",,foreli,"Polyrhachis foreli, Polyrhachis cupreata",
,,,,,robsoni,Polyrhachis robsoni,
Myrmarachne smaragdina,"(Ceccarelli, 2010)",Araneae,"Ceccarelli, 2010",,,Oecophylla smaragdina,
Poecilipta kohouti,"(Raven, 2015)",Araneae,"Raven, 2015",,,,
Poecilipta sp1,,Araneae,"Raven, 2015",,,,
Reduviid1 sp1,,Hemiptera,Pers. obs.,Nymphs are very ant-like,,,
Rhombonotus gracilis,"(Koch L., 1879)",Araneae,"Davies and Zabka, 1989",,,,
Riptortus abdominalis,"(Westwood, 1842)",Hemiptera,"McIver and Stonedahl, 1993",Only juveniles are mimetic,,,
Salticid17 sp1,,Araneae,Pers. obs.,Probably a juvenile Ligonipes ,,,
Vespoidea3 sp1,,Hymenoptera,Pers. obs.,Mistakenly collected as an ant,,,
Vespoidea5 sp1,,Hymenoptera,Pers. obs.,"Possibly part of the golden mimicry complex (Pekár et al., 2017)",,,
Vespoidea6 sp1,,Hymenoptera,Pers. obs.,,,,
Zodarid4 sp1,,Araneae,"Whyte and Anderson, 2017",,,,
